id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,number_of_listings
119441,STYLISH  LAKEVIEW / KING SIZE BED/DOWNTOWN+PARKING,174063,Denis,,South Parkdale,43.63737,-79.44022,Entire home/apt,126,28,85,2024-10-22,0.52,4,363,3,,4
131401,Waterfront Luxury Suite 1 Bd - Downtown,604233,Fuaad,,Niagara,43.63649,-79.40171,Entire home/apt,78,150,11,2023-05-17,0.1,1,319,0,,1
1348067,The Great Gerrard - Toronto Suite,377846,Nick & Nena,,East End-Danforth,43.68358,-79.30637,Entire home/apt,79,28,23,2024-08-20,0.17,18,342,2,,18
3924298,Queen St West world’s coolest site,20327820,Nathalia,,Niagara,43.64573,-79.41044,Entire home/apt,215,1,94,2024-11-04,0.76,2,289,27,STR-2311-JCRBHZ,2
3924719,Kensington and The Deep Blue Sea,14405518,Jordan,,Kensington-Chinatown,43.64913,-79.4015,Private room,116,4,208,2024-10-22,1.68,3,164,30,STR-2010-JCDRPM,3
3925001,Downtown Village Furnished Room!,20334033,D & S,,Church-Yonge Corridor,43.66595,-79.3785,Private room,70,28,81,2024-02-04,0.65,1,90,1,,1
3925603,Live in Kensington Market $155/day,19805682,Irene,,Kensington-Chinatown,43.65701,-79.40245,Private room,,28,0,,,1,0,0,,1
3929908,Gorgeous Townhouse in Downtown,979386,Kamara,,Church-Yonge Corridor,43.65942,-79.37619,Entire home/apt,,28,0,,,1,0,0,,1
4531930,Beautiful mainfloor apartment!,23497077,Amanda,,South Riverdale,43.66421,-79.32715,Private room,,28,0,,,1,0,0,,1
4535652,Chic urban 1BD in amazing location,23518355,Lee-Anne,,Bay Street Corridor,43.64923,-79.38615,Entire home/apt,99,30,29,2023-10-01,0.25,32,155,0,,32
1419,Beautiful home in amazing area!,1565,Alexandra,,Little Portugal,43.6459,-79.42423,Entire home/apt,,28,6,2017-08-07,0.05,1,0,0,,1
8077,Downtown Harbourfront Private Room,22795,Kathie & Larry,,Waterfront Communities-The Island,43.6408,-79.37673,Private room,,180,169,2013-08-27,0.91,2,0,0,,2
26654,"World Class @ CN Tower, convention centre, Theatre",113345,Adela,,Waterfront Communities-The Island,43.64608,-79.39032,Entire home/apt,155,28,43,2024-10-22,0.26,5,144,1,,5
27423,Executive Studio Unit- Ideal for One Person,118124,Brent,,South Riverdale,43.66884,-79.32725,Entire home/apt,,90,31,2024-10-03,0.18,1,33,3,,1
30931,Downtown Toronto - Waterview Condo,22795,Kathie & Larry,,Waterfront Communities-The Island,43.64015,-79.37625,Entire home/apt,,180,1,2010-08-11,0.01,2,0,0,,2
40456,Downtown- King Size Bed and Parking,174063,Denis,,South Parkdale,43.63539,-79.4401,Entire home/apt,,750,113,2023-06-19,0.65,4,365,0,,4
40701,Bright Beaches loft close to Queen and the lake,175687,John,,The Beaches,43.67239,-79.28858,Entire home/apt,79,28,10,2024-10-31,0.07,2,51,4,,2
44452,Yonge & Bloor Studio Skyline,195095,Urbano,,Rosedale-Moore Park,43.67193,-79.3859,Entire home/apt,126,28,67,2024-07-10,0.39,9,340,1,,9
45399,Fountain View Studio - Eaton center,195095,Urbano,,Bay Street Corridor,43.66123,-79.38336,Entire home/apt,150,28,89,2024-08-17,0.52,9,330,4,,9
45893,Yonge & Bloor Lakeview Master BR,195095,Urbano,,Rosedale-Moore Park,43.6718,-79.38488,Private room,90,28,24,2024-08-31,0.14,9,191,2,,9
50110,Yorkville one bedroom Condo,195095,Urbano,,Church-Yonge Corridor,43.66899,-79.38559,Entire home/apt,163,28,61,2024-08-30,0.36,9,190,3,,9
51616,Large room in trendy King Street West.,237587,John,,Niagara,43.64296,-79.40451,Private room,,91,24,2018-11-11,0.24,1,0,0,,1
62545,Furnished Heritage Rooms Downtown 1,304551,Kintoo,,Niagara,43.64611,-79.4071,Private room,50,90,23,2019-12-20,0.14,9,279,0,,9
64635,Furnished Heritage Rooms Downtown 2,304551,Kintoo,,Niagara,43.64482,-79.40897,Private room,50,150,18,2024-08-29,0.11,9,175,1,,9
64641,Furnished Heritage Rooms Downtown,304551,Kintoo,,Niagara,43.64453,-79.40736,Private room,50,120,24,2024-04-30,0.14,9,321,2,,9
64645,Furnished Downtown Heritage Suite,304551,Kintoo,,Niagara,43.64475,-79.40905,Private room,60,30,14,2023-12-31,0.09,9,365,1,,9
66856,Furnished Downtown Room,304551,Kintoo,,Niagara,43.64642,-79.40736,Private room,50,120,5,2024-10-03,0.03,9,307,2,,9
